Sample ID,Chl vial #,Vol. filtered for Chl (ml),Date extraction, Acetone (ml) added to filter (extraction),Date Run,sample (ml) from acetone + filter,acetone (ml) added to sample (dilution),Dilution Ratio,Vol. Extracted / Vol. Filtered,Fo,Fo blank,Fo* = Fo - Fo blank,Fa,Fa blank,Fa* = Fa - Fa blank,Fo* - Fa*,Chl (ug/l),Phaeo (ug/l),Notes,Calibration Date,K,Fm,Fm/          (Fm-1)
pc1,,219,,5,,1,4,0.2,0.02283105,262,0,262,146,0,146,116,27.50332192,0.189678082,,3/8/2024,0.9231,1.8,2.25
pc2,,220,,5.8,,1,4,0.2,0.026363636,220,0,220,126,0,126,94,25.73560841,1.861724864,,,,,
pc3,,210,,5,,1,4,0.2,0.023809524,337,0,337,187,0,187,150,37.08883929,-0.098903571,,,,,
pe1,,50,,5,,1,4,0.2,0.1,73.8,0,73.8,42.4,0,42.4,31.4,32.6085075,2.6169885,,,,,
pe2,,50,,5,,1,4,0.2,0.1,82.7,0,82.7,47.1,0,47.1,35.6,36.970155,2.160054,,,,,
pe3,,50,,5,,1,4,0.2,0.1,82.5,0,82.5,46.9,0,46.9,35.6,36.970155,1.993896,,,,,
rc1,,50,,5,,1,4,0.2,0.1,48.5,0,48.5,31.6,0,31.6,16.9,17.55043875,8.70252525,,,,,
rc2,,50,,5,,1,4,0.2,0.1,62.4,0,62.4,39.3,0,39.3,23.1,23.98906125,8.66098575,,,,,
rc3,,50,,5,,1,4,0.2,0.1,41.5,0,41.5,28.2,0,28.2,13.3,13.81188375,9.61639425,,,,,
re1,,50,,5,,1,4,0.2,0.1,35.2,0,35.2,23.4,0,23.4,11.8,12.2541525,7.1863335,,,,,
re2,,50,,5,,1,4,0.2,0.1,38.9,0,38.9,25.4,0,25.4,13.5,14.01958125,7.08248475,,,,,
re3,,50,,5,,1,4,0.2,0.1,39.8,0,39.8,25.5,0,25.5,14.3,14.85037125,6.33477375,,,,,
